0.414	3.034
0.419	2.983
0.421	2.931
0.424	2.879
0.435	2.827
0.441	2.775
0.454	2.724
0.461	2.672
0.475	2.620
0.499	2.543
0.515	2.490
0.530	2.426
0.544	2.361
0.575	2.301
0.613	2.252
0.654	2.213
0.696	2.177
0.745	2.138
0.800	2.111
0.855	2.097
0.907	2.090
0.959	2.085
1.011	2.082
1.063	2.083
1.115	2.092
1.167	2.095
1.232	2.106
1.297	2.135
1.349	2.151
1.427	2.187
1.492	2.212
1.570	2.236
1.635	2.228
1.687	2.201
1.733	2.160
1.775	2.123
1.829	2.097
1.874	2.037
1.907	1.973
1.946	1.924
1.998	1.881
2.026	1.830
2.042	1.777
2.047	1.722
2.030	1.662
2.023	1.584
2.020	1.532
2.015	1.467
2.010	1.403
2.007	1.348
2.009	1.286
2.016	1.221
2.019	1.169
2.024	1.118
2.032	1.066
2.047	1.014
2.065	0.949
2.072	0.885
2.084	0.833
2.121	0.774
2.164	0.729
2.213	0.685
2.258	0.652
2.308	0.621
2.357	0.579
2.414	0.544
2.466	0.506
2.531	0.476
2.635	0.450
2.685	0.436
2.752	0.428
2.817	0.433
2.868	0.428
2.920	0.427
2.985	0.435
3.037	0.442
