-1.254	2.091
-1.199	2.081
-1.147	2.081
-1.095	2.076
-1.043	2.080
-0.991	2.083
-0.926	2.092
-0.873	2.101
-0.821	2.114
-0.762	2.141
-0.712	2.184
-0.672	2.224
-0.631	2.275
-0.602	2.320
-0.580	2.379
-0.556	2.445
-0.537	2.503
-0.521	2.560
-0.488	2.607
-0.462	2.659
-0.443	2.710
-0.427	2.777
-0.425	2.829
-0.411	2.894
-0.409	2.959
-0.398	3.024
2.028	1.799
2.028	1.682
2.031	1.734
2.023	1.851
2.008	1.903
1.987	1.967
1.961	2.018
1.934	2.066
1.893	2.116
1.858	2.158
1.799	2.180
1.736	2.218
1.679	2.235
0.408	-2.933
0.426	-2.881
0.436	-2.829
0.437	-2.777
0.442	-2.724
0.451	-2.659
0.460	-2.607
0.463	-2.555
0.479	-2.503
0.489	-2.451
0.504	-2.399
0.513	-2.333
0.517	-2.281
0.530	-2.229
0.554	-2.176
0.595	-2.123
0.639	-2.080
0.686	-2.042
0.726	-2.004
0.769	-1.973
0.821	-1.959
0.882	-1.942
0.939	-1.937
0.991	-1.924
1.043	-1.935
2.023	-1.264
2.025	-1.317
2.030	-1.382
2.029	-1.434
2.028	-1.486
2.029	-1.551
2.030	-1.603
2.032	-1.656
2.030	-1.721
2.001	-1.782
1.968	-1.828
1.932	-1.890
1.906	-1.937
1.851	-1.982
1.809	-2.015
2.023	-1.264
2.019	-1.199
2.025	-1.147
2.028	-1.095
2.035	-1.043
2.037	-0.991
2.040	-0.939
2.055	-0.886
2.069	-0.834
2.073	-0.782
2.086	-0.730
2.101	-0.678
2.136	-0.639
2.170	-0.591
2.208	-0.552
2.265	-0.516
2.315	-0.489
2.372	-0.454
2.423	-0.439
2.470	-0.411
2.536	-0.385
2.594	-0.364
2.646	-0.354
2.698	-0.343
2.764	-0.333
2.816	-0.324
2.881	-0.318
2.933	-0.313
2.031	1.682
2.028	1.590
2.028	1.538
2.026	1.486
2.020	1.434
2.020	1.382
2.018	1.317
2.024	1.264
2.027	1.199
2.031	1.134
2.038	1.082
2.054	1.030
2.068	0.978
2.080	0.912
2.085	0.860
2.107	0.808
2.144	0.750
2.182	0.712
2.229	0.675
2.281	0.647
2.330	0.610
2.372	0.573
2.421	0.541
2.464	0.510
2.516	0.480
2.581	0.461
2.646	0.450
2.698	0.436
2.751	0.433
2.816	0.434
2.881	0.434
2.933	0.433
2.985	0.437
3.037	0.443
0.378	3.052
0.414	2.998
0.422	2.946
0.425	2.894
0.436	2.831
0.444	2.777
0.460	2.711
0.477	2.633
0.493	2.572
0.507	2.516
0.518	2.464
0.530	2.412
0.543	2.359
0.578	2.309
0.616	2.265
0.662	2.229
0.705	2.181
0.759	2.145
0.808	2.118
0.860	2.107
0.926	2.094
0.978	2.092
1.030	2.089
1.082	2.094
1.134	2.105
1.186	2.105
1.238	2.116
1.304	2.146
1.365	2.171
1.421	2.196
1.484	2.225
1.588	2.238
